year,ahe,bachelor,female,age
1992,11.1888113,1,0,29
1992,10,1,0,33
1992,5.769230843,0,0,30
1992,1.5625,0,0,32
1992,14.9572649,1,0,31
1992,8.660096169,1,1,26
1992,7.788461685,0,1,31
1992,17.78846169,0,0,33
1992,11.05769253,0,0,29
1992,12.07932663,0,0,30
1992,14.42307663,1,0,30
1992,7.932692528,1,1,30
1992,13.73626328,1,1,34
1992,7.211538315,0,1,26
1992,23.55769157,1,0,29
1992,9.15750885,1,0,31
1992,11.69438648,0,1,34
1992,6.730769157,0,0,32
1992,12.5,0,0,30
1992,8.653845787,0,1,28
1992,11.77884579,0,0,26
1992,3.990384579,0,1,31
1992,19.20000076,0,0,34
1992,10.96581173,0,1,29
1992,6.009615421,1,0,31
1992,1.893939376,0,0,31
1992,7.211538315,0,1,34
1992,15.66666698,0,0,30
1992,5.096153736,1,1,25
1992,12.12968445,1,1,28
1992,12.47534561,1,0,25
1992,9.615385056,0,0,34
1992,12.23776245,0,0,30
1992,14.56212997,1,1,28
1992,7.675438404,0,0,32
1992,9.943181992,0,1,31
1992,17.40384674,1,0,33
1992,8.431952477,1,0,31
1992,10.76923084,1,1,30
1992,10.09615421,0,0,29
1992,6.373626232,0,1,31
1992,10.76923084,0,0,33
1992,7.34693861,0,0,30
1992,10.48951054,0,0,32
1992,11.53846169,0,1,34
1992,3.605769157,0,1,33
1992,7.692307472,0,1,25
1992,5.566801548,0,1,27
1992,9.79020977,0,0,27
1992,8.17307663,0,0,32
1992,7.692307472,0,1,28
1992,13.15789509,0,0,34
1992,14.41826916,1,0,29
1992,6.100500107,0,0,30
1992,12.90961552,0,0,33
1992,15.38461494,1,0,31
1992,13.46153831,1,0,32
1992,17.09401703,1,1,33
1992,7.211538315,0,1,33
1992,8.547008514,0,0,27
1992,7.040625095,0,0,31
1992,17.57452011,0,0,29
1992,13.46153831,0,0,32
1992,2.352941275,0,1,30
1992,5.576922894,0,0,33
1992,8.064904213,0,1,25
1992,10.68376064,0,1,29
1992,6.25,1,1,29
1992,9.011263847,0,0,31
1992,10.82350445,0,1,30
1992,9,0,0,29
1992,5.566801548,0,1,27
1992,9.829059601,0,1,27
1992,10.35503006,0,0,30
1992,12.52236176,1,1,33
1992,13.67521381,1,1,28
1992,14.28571415,1,0,30
1992,22.4485569,1,0,33
1992,16.02564049,0,0,30
1992,18.05555534,1,0,29
1992,12.5,0,1,33
1992,7.932692528,0,0,25
1992,7.796154022,0,1,32
1992,23.07692337,1,0,26
1992,19.23077011,0,0,32
1992,16.34615326,0,0,34
1992,37.17948532,1,0,28
1992,18.75,1,1,27
1992,8.17307663,0,0,27
1992,19.23077011,1,0,34
1992,12.54180622,0,0,30
1992,4.147812843,0,1,30
1992,12.2519846,1,0,27
1992,9.615385056,0,0,30
1992,9.15750885,0,0,26
1992,8.653845787,0,0,29
1992,4.807692528,0,1,33
1992,6.444683075,0,1,30
1992,13.19930077,0,1,33
1992,14.42307663,0,0,33
1992,8.07692337,0,1,29
1992,13.41681576,0,0,30
1992,16.82692337,1,1,31
1992,13.24786282,0,1,34
1992,18.05555534,1,0,33
1992,22.59615326,1,1,31
1992,19.23077011,0,0,28
1992,7.211538315,1,0,30
1992,21.63461494,1,0,29
1992,6.410256386,0,0,27
1992,12.80000019,0,0,33
1992,12.5714283,0,1,27
1992,10.98901081,0,0,28
1992,9.401709557,0,1,32
1992,11.19615364,0,0,32
1992,8.79807663,1,0,28
1992,17.30769157,1,0,29
1992,12.23776245,0,0,32
1992,32.21154022,1,0,31
1992,12.01923084,1,0,25
1992,15.86538506,1,0,27
1992,11.15384579,0,0,33
1992,10.57692337,0,0,26
1992,6.730769157,1,1,31
1992,9,0,0,26
1992,9.134614944,0,0,29
1992,4.5,0,1,28
1992,15,0,1,29
1992,9.615385056,1,1,27
1992,5.769230843,0,0,25
1992,17.78846169,1,0,31
1992,6.410256386,0,0,26
1992,17.30769157,1,0,28
1992,7.211538315,0,1,29
1992,16.00144196,1,0,31
1992,14.28571415,1,1,25
1992,7.692307472,0,1,34
1992,9.503365517,0,1,33
1992,10.57692337,1,0,26
1992,4.800000191,1,0,31
1992,8.75,1,0,26
1992,12.07932663,0,0,32
1992,6.060606003,0,1,29
1992,14.28247833,1,0,32
1992,11.05769253,0,1,30
1992,13.46153831,0,0,34
1992,7.085020065,0,1,28
1992,6.009615421,0,1,27
1992,10.57692337,1,0,29
1992,13.67521381,0,0,28
1992,9.615385056,0,1,30
1992,11.05769253,0,0,32
1992,4.807692528,0,1,32
1992,7.371794701,1,0,28
1992,11.05769253,1,1,26
1992,7.142857075,0,0,29
1992,7.211538315,0,1,28
1992,6.751227379,0,0,28
1992,11.05769253,0,0,25
1992,11.96581173,1,1,29
1992,18.80341911,1,0,32
1992,10.81730747,0,0,34
1992,6.25,0,1,32
1992,9.615385056,0,1,33
1992,9.375,0,1,26
1992,12.30769253,1,0,27
1992,8.653845787,0,0,28
1992,8.17307663,0,1,26
1992,9.401709557,0,1,34
1992,8.791209221,0,1,32
1992,19.23077011,0,0,32
1992,13.94230747,0,0,30
1992,7.040625095,0,0,30
1992,10.09615421,0,1,31
1992,7.211538315,1,1,25
1992,17.30769157,0,0,31
1992,7.5,0,0,31
1992,7.692307472,0,0,27
1992,4.166666508,0,0,26
1992,12.01923084,1,1,32
1992,7.051281929,0,0,28
1992,8.333333015,0,0,34
1992,8.547008514,0,0,28
1992,4.807692528,0,1,26
1992,36.05769348,1,0,32
1992,10.68376064,0,0,33
1992,4.807692528,1,1,31
1992,18.75,0,1,32
1992,13.78205109,1,0,28
1992,11.44688606,0,0,30
1992,8.17307663,0,0,32
1992,21.63461494,0,0,34
1992,12.01923084,0,0,30
1992,9.763313293,0,0,28
1992,16.82692337,1,0,27
1992,5.775480747,0,1,33
