sex,age,mrd,educ,cworker,region,race,earnings,height,weight,occupation
0,48,1,13,1,3,1,84054.75,65,133,1
0,41,6,12,1,2,1,14021.39453,65,155,1
0,26,1,16,1,1,1,84054.75,60,108,1
0,37,1,16,1,2,1,84054.75,67,150,1
0,35,6,16,1,1,1,28560.38672,68,180,1
0,25,6,15,1,4,1,23362.87305,63,101,1
0,29,1,16,1,2,1,38925.33594,67,150,1
0,44,4,18,3,4,1,84054.75,65,125,1
0,50,6,14,2,3,1,84054.75,67,129,1
0,38,1,12,4,3,1,84054.75,66,110,1
0,30,1,12,1,4,1,84054.75,65,110,1
0,29,4,18,2,3,1,38925.33594,68,135,1
0,26,1,16,1,1,1,84054.75,65,123,1
0,50,1,12,1,1,1,49430.10938,63,132,1
0,65,4,16,4,4,3,16081.58789,65,110,1
0,45,6,17,2,4,1,84054.75,71,202,1
0,26,6,16,1,3,1,23362.87305,66,130,1
0,57,4,12,2,3,1,44152.16016,68,220,1
0,40,4,16,1,4,1,84054.75,66,195,1
0,36,1,12,1,3,1,49430.10938,68,135,1
0,60,1,15,4,3,1,84054.75,64,160,1
0,32,1,12,1,2,1,33712.96875,65,115,1
0,33,1,12,1,1,1,44152.16016,61,125,1
0,27,1,16,1,1,1,84054.75,64,115,1
0,52,5,13,2,2,2,44152.16016,60,170,1
0,36,1,12,4,4,1,84054.75,68,180,1
0,53,4,18,4,2,1,84054.75,65,128,1
0,29,6,16,1,2,1,28560.38672,67,115,1
0,35,1,11,1,4,1,23362.87305,66,140,1
0,46,1,18,4,4,1,84054.75,63,120,1
0,47,4,10,1,3,1,6711.287598,64,124,1
0,34,4,13,6,4,1,33712.96875,64,170,1
0,34,4,17,4,4,1,38925.33594,66,110,1
0,57,4,12,1,2,1,23362.87305,65,200,1
0,50,1,16,6,3,1,84054.75,66,140,1
0,41,1,15,1,4,1,84054.75,66,130,1
0,29,1,13,6,1,1,23362.87305,66,140,1
0,35,2,11,1,2,2,14021.39453,64,160,1
0,58,1,11,1,1,1,84054.75,66,136,1
0,29,1,15,1,2,1,33712.96875,62,115,1
0,42,1,8,4,3,3,18168.8418,62,150,1
0,34,1,12,1,4,1,44152.16016,66,501,1
0,32,1,13,1,1,1,33712.96875,61,135,1
0,38,1,16,1,2,1,44152.16016,62,120,1
0,36,4,16,1,4,1,28560.38672,66,140,1
0,50,1,13,3,3,1,84054.75,66,200,1
0,29,6,18,1,2,1,33712.96875,65,145,1
0,46,4,16,1,4,4,49430.10938,61,113,1
0,58,1,12,4,3,1,23362.87305,63,165,1
0,43,4,12,1,2,1,23362.87305,67,160,1
0,45,4,15,1,4,1,84054.75,65,145,1
0,29,1,12,1,2,1,44152.16016,67,135,1
0,54,3,16,1,3,1,28560.38672,66,150,1
0,42,1,16,1,2,1,84054.75,66,145,1
0,43,1,12,1,3,3,84054.75,68,148,1
0,31,3,12,1,2,3,28560.38672,66,138,1
0,54,1,12,1,3,1,49430.10938,66,160,1
0,59,1,16,1,3,1,84054.75,70,155,1
0,59,1,15,6,3,1,84054.75,66,135,1
0,50,1,12,1,1,1,44152.16016,66,185,1
0,39,1,12,2,3,1,84054.75,62,148,1
0,35,1,16,1,1,1,84054.75,61,140,1
0,37,1,16,1,2,1,84054.75,62,104,1
0,55,1,13,1,1,1,84054.75,64,160,1
0,46,6,17,4,1,1,38925.33594,65,140,1
0,63,4,18,4,4,1,16081.58789,70,145,1
0,54,4,18,1,4,1,44152.16016,62,154,1
0,48,1,18,2,3,1,84054.75,64,165,1
0,32,6,16,1,1,1,84054.75,63,115,1
0,31,1,14,1,4,3,84054.75,70,168,1
0,27,1,16,1,1,2,84054.75,68,142,1
0,43,1,13,1,1,1,84054.75,67,135,1
0,47,1,12,1,2,1,33712.96875,67,150,1
0,34,4,13,1,3,2,11953.45508,63,133,1
0,48,1,16,1,2,1,84054.75,62,117,1
0,33,1,16,1,4,1,84054.75,68,115,1
0,40,6,17,4,1,1,84054.75,69,204,1
0,31,4,13,3,2,1,23362.87305,65,165,1
0,39,1,14,1,2,1,38925.33594,64,155,1
0,28,6,14,3,1,1,10865.42871,62,150,1
0,40,1,15,1,4,1,84054.75,67,150,1
0,38,1,14,1,4,1,84054.75,62,120,1
0,58,1,13,4,1,1,38925.33594,65,160,1
0,34,4,15,1,4,1,12954.76563,63,135,1
0,43,4,13,2,3,2,33712.96875,67,165,1
0,35,1,14,1,1,1,84054.75,63,114,1
0,31,1,16,1,1,1,84054.75,66,152,1
0,38,1,18,3,3,1,84054.75,66,120,1
0,29,4,16,1,2,1,33712.96875,61,120,1
0,56,4,16,3,4,1,49430.10938,67,250,1
0,28,6,18,1,1,2,49430.10938,67,115,1
0,31,1,16,1,4,1,84054.75,67,140,1
0,41,4,13,1,2,1,23362.87305,62,185,1
0,36,1,17,1,1,1,84054.75,66,110,1
0,41,6,15,1,3,2,49430.10938,64,130,1
0,46,1,12,1,2,1,84054.75,64,190,1
0,55,1,17,1,4,1,84054.75,68,125,1
0,50,1,14,1,4,1,84054.75,64,160,1
0,58,3,12,4,3,1,23362.87305,65,140,1
0,45,1,14,2,2,1,84054.75,65,128,1
0,41,4,12,1,2,1,44152.16016,67,245,1
0,31,6,11,1,3,1,23362.87305,66,140,1
0,41,1,12,1,4,1,23362.87305,63,130,1
0,65,4,18,1,3,1,38925.33594,62,130,1
0,36,1,16,1,4,1,84054.75,63,117,1
0,42,4,14,4,4,3,28560.38672,61,160,1
0,33,1,12,6,1,1,28560.38672,65,127,1
